	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
349	8	329.76878649749636	31.892487977785215	5	2.0	0	43	1
350	9	145.40411835797892	35.891014284704234	6	56.0	2	43	1
351	10	157.2518297159833	48.56254396692576	7	12.0	1	43	1
352	11	225.26184998930893	45.640563415254384	7	12.0	1	43	1
353	12	295.3383094630298	56.95695825207427	9	23127.0	4	43	1
354	1	262.429137376825	1.0	1	5372.0	4	44	1
355	2	284.46691341995125	11.750303369379168	3	131.0	2	44	1
356	3	276.1886413359694	16.0593693525188	4	216.0	2	44	1
357	4	298.14629284173543	26.75429324444807	5	847.0	3	44	1
358	5	267.237913425132	38.5023269904726	7	36.0	2	44	1
359	6	96.32366454587721	40.90719334748036	7	36.0	2	44	1
360	7	168.41168515170563	45.2099361976904	9	3.0	0	44	1
361	8	239.4004098874731	48.89901432053814	9	3.0	0	44	1
362	9	166.54331860077144	61.73857284077879	11	5.0	1	44	1
363	1	246.71698169861207	1.5	1	69974.0	5	45	1
364	2	323.9623342366452	7.75043261117615	2	6.0	1	45	1
365	3	153.0038581323385	14.521475499309759	3	6.0	1	45	1
366	4	144.21581935216958	18.989554731238336	3	6.0	1	45	1
367	5	123.76714541380656	13.775768502488827	3	6.0	1	45	1
368	6	191.8664841864925	19.000012525716503	3	6.0	1	45	1
369	7	257.51738254177144	27.422809114058794	6	203.0	2	45	1
370	8	269.83412009879225	31.0052262484857	6	203.0	2	45	1
371	9	240.93029105096647	37.48532590293415	7	1.0	0	45	1
372	10	287.63722556687287	46.24631830718093	9	26155.0	4	45	1
373	1	229.88757671642307	2.0	1	2333.0	3	46	1
374	2	197.70719927106845	6.238589091531789	2	69974.0	5	46	1
375	3	166.51907509027114	12.045108075789681	4	134.0	2	46	1
376	4	121.76140705646462	7.13424933524497	2	69974.0	5	46	1
377	5	201.41439033505273	10.937759054905746	3	1207.0	3	46	1
378	6	266.10474325944824	17.9144799971964	5	21335.0	4	46	1
379	7	347.38540827316615	28.56310408308807	7	7.0	1	46	1
380	8	296.8159742524653	34.91309609780909	8	3727.0	4	46	1
381	9	164.66401954218398	39.21357984563743	9	1.0	0	46	1
382	10	164.5749836693098	49.13257971410667	10	76.0	2	46	1
383	11	221.70937279677503	44.843470261923166	10	76.0	2	46	1
384	1	300.0297539171833	1.5	1	69974.0	5	47	1
385	2	197.59074010502584	6.482699244554127	2	6.0	1	47	1
386	3	298.5624791518786	15.950601954992045	3	36.0	2	47	1
387	4	342.10265573316366	30.649748664841084	6	2.0	0	47	1
388	5	259.31967594153764	35.211497580473576	6	2.0	0	47	1
389	6	284.51767480821127	44.70345689074418	8	8761.0	4	47	1
390	7	237.89961869815397	50.11472595171316	9	13.0	1	47	1
391	1	264.2258114936892	2.0	1	2333.0	3	48	1
392	2	240.17261142060335	5.41337520255426	2	2.0	0	48	1
393	3	269.0313100593651	12.801294448642473	3	1.0	0	48	1
394	4	254.77598403866003	20.5325323233039	4	246.0	2	48	1
395	5	106.01158057561688	30.795531333992823	5	1.0	0	48	1
396	6	140.8711280877187	25.549832368174872	5	1.0	0	48	1
397	7	275.7045457836297	34.81919248433116	6	28850.0	4	48	1
398	8	206.60317662722315	39.95923770473869	7	10.0	1	48	1
399	9	244.4576614748738	37.694338700604305	7	10.0	1	48	1
400	10	101.64799710945728	48.04259333102479	9	41.0	2	48	1
401	11	178.37450670838294	51.48331182951981	9	41.0	2	48	1
402	12	141.78002317532588	56.470957701438664	10	69974.0	5	48	1
403	1	327.86665334151485	3.0	1	1.0	0	1	2
404	2	118.08995600113906	10.886378094680996	2	181.0	2	1	2
405	3	126.95094151136415	6.851117020166546	2	181.0	2	1	2
406	4	252.05087189353944	10.80655754645047	2	181.0	2	1	2
407	5	314.821395021808	19.390672645250607	4	3036.0	3	1	2
408	6	299.83758698708664	36.73988309918087	7	5372.0	4	1	2
409	7	343.6456077666244	43.685519818209656	9	409.0	3	1	2
410	1	303.4312449257502	1.5	1	69974.0	5	2	2
411	2	245.91368304448662	9.640775561699435	2	92.0	2	2	2
412	3	398.6964779988499	18.872135674958006	3	52.0	2	2	2
413	4	293.4814436364629	29.72199019531996	5	1635.0	3	2	2
414	5	133.97986765594624	36.28422925486132	6	382.0	3	2	2
415	6	261.20285917450224	41.27524240645935	6	382.0	3	2	2
416	1	343.23861837123843	2.0	1	108.0	2	3	2
417	2	233.86764204016796	5.7803715579437345	2	36414.0	5	3	2
418	3	339.0936530867903	16.152379354634554	4	213.0	2	3	2
419	4	119.75689084677123	25.647560388401217	5	226.0	2	3	2
420	5	135.30126245054205	20.34631781392027	5	226.0	2	3	2
421	6	213.91877532917886	30.83977616497142	7	3942.0	4	3	2
422	7	125.99254775511365	34.325422130395836	7	3942.0	4	3	2
423	8	123.61962171336734	30.62220372543707	7	3942.0	4	3	2
424	9	209.9900463573228	35.780887312388955	8	3727.0	4	3	2
425	10	137.66749718783885	44.79596330614816	10	1068.0	3	3	2
426	11	74.33844895035432	49.92855520605398	11	126.0	2	3	2
427	12	117.12799212443417	44.109817269480345	10	1068.0	3	3	2
